containerId	locX	locY	warehouseNum	goodsId	containerSize
1001	1	1	1	1	5
1002	1	2	1	2	5
1003	1	3	1	2	5
1004	1	4	1	3	5
1005	1	5	1	3	5
1006	1	6	1	3	5
1007	1	7	1	3	5
1008	1	8	1	3	5
1009	1	9	1	4	5
1010	1	10	1	6	5
1011	1	11	1	6	5
1012	1	12	1	0	5
1013	1	13	1	0	5
1014	1	14	1	0	5
1015	1	15	1	0	5
1016	1	16	1	0	5
1017	1	17	1	0	5
1018	1	18	1	0	5
1019	1	19	1	0	5
1020	1	20	1	0	5
1021	1	21	1	0	5
1022	1	22	1	0	5
1023	1	23	1	0	5
1024	1	24	1	0	5
1025	1	25	1	0	5
1026	1	26	1	0	5
1027	1	27	1	0	5
1028	1	28	1	0	5
1029	1	29	1	0	5
1030	1	30	1	0	5
1031	1	31	1	0	5
1032	1	32	1	0	5
1033	1	33	1	0	5
1034	1	34	1	0	5
1035	1	35	1	0	5
1036	1	36	1	0	5
1037	1	37	1	0	5
1038	1	38	1	0	5
1039	1	39	1	0	5
1040	1	40	1	0	5
1041	1	41	1	0	5
1042	1	42	1	0	5
1043	1	43	1	0	5
1044	1	44	1	0	5
1045	1	45	1	0	5
1046	1	46	1	0	5
1047	1	47	1	0	5
1048	1	48	1	0	5
1049	1	49	1	0	5
1050	1	50	1	0	5
1051	2	1	1	0	5
1052	2	2	1	0	5
1053	2	3	1	0	5
1054	2	4	1	0	5
1055	2	5	1	0	5
1056	2	6	1	0	5
1057	2	7	1	0	5
1058	2	8	1	0	5
1059	2	9	1	0	5
1060	2	10	1	0	5
1061	2	11	1	0	5
1062	2	12	1	0	5
1063	2	13	1	0	5
1064	2	14	1	0	5
1065	2	15	1	0	5
1066	2	16	1	0	5
1067	2	17	1	0	5
1068	2	18	1	0	5
1069	2	19	1	0	5
1070	2	20	1	0	5
1071	2	21	1	0	5
1072	2	22	1	0	5
1073	2	23	1	0	5
1074	2	24	1	0	5
1075	2	25	1	0	5
1076	2	26	1	0	5
1077	2	27	1	0	5
1078	2	28	1	0	5
1079	2	29	1	0	5
1080	2	30	1	0	5
1081	2	31	1	0	5
1082	2	32	1	0	5
1083	2	33	1	0	5
1084	2	34	1	0	5
1085	2	35	1	0	5
1086	2	36	1	0	5
1087	2	37	1	0	5
1088	2	38	1	0	5
1089	2	39	1	0	5
1090	2	40	1	0	5
1091	2	41	1	0	5
1092	2	42	1	0	5
1093	2	43	1	0	5
1094	2	44	1	0	5
1095	2	45	1	0	5
1096	2	46	1	0	5
1097	2	47	1	0	5
1098	2	48	1	0	5
1099	2	49	1	0	5
1100	2	50	1	0	5
1101	3	1	1	0	5
1102	3	2	1	0	5
1103	3	3	1	0	5
1104	3	4	1	0	5
1105	3	5	1	0	5
1106	3	6	1	0	5
1107	3	7	1	0	5
1108	3	8	1	0	5
1109	3	9	1	0	5
